,educ,fdm01a,di01a,pa02a
0,MITTLERE REIFE,DEUTSCHLAND,1800,WENIG
1,MITTLERE REIFE,DEUTSCHLAND,2000,STARK
2,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,2500,MITTEL
3,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,860,SEHR STARK
4,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,SEHR STARK
5,MITTLERE REIFE,DEUTSCHLAND,2500,MITTEL
6,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
7,MITTLERE REIFE,DEUTSCHLAND,750,MITTEL
8,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,SEHR STARK
9,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,880,SEHR STARK
10,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1400,MITTEL
11,OHNE ABSCHLUSS,JUGOSLAWIEN,1300,WENIG
12,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,3000,MITTEL
13,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,VERWEIGERT,MITTEL
14,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,950,MITTEL
15,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1200,MITTEL
16,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,3300,STARK
17,MITTLERE REIFE,DEUTSCHLAND,1500,WENIG
18,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,500,WENIG
19,HOCHSCHULREIFE,DEUTSCHLAND,1600,STARK
20,"VOLKS-,HAUPTSCHULE",RUSSISCHE FOEDERAT.,1000,MITTEL
21,MITTLERE REIFE,DEUTSCHLAND,1800,STARK
22,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,740,UEBERHAUPT NICHT
23,FACHHOCHSCHULREIFE,SOWJETUNION,KEIN EINKOMMEN,MITTEL
24,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
25,MITTLERE REIFE,SOWJETUNION,VERWEIGERT,WENIG
26,FACHHOCHSCHULREIFE,DEUTSCHLAND,2400,MITTEL
27,MITTLERE REIFE,DEUTSCHLAND,1050,SEHR STARK
28,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,VERWEIGERT,MITTEL
29,MITTLERE REIFE,DEUTSCHLAND,875,MITTEL
30,MITTLERE REIFE,DEUTSCHLAND,850,UEBERHAUPT NICHT
31,HOCHSCHULREIFE,DEUTSCHLAND,1500,SEHR STARK
32,MITTLERE REIFE,DEUTSCHLAND,1900,MITTEL
33,HOCHSCHULREIFE,DEUTSCHLAND,2000,WENIG
34,MITTLERE REIFE,DEUTSCHLAND,1000,MITTEL
35,MITTLERE REIFE,DEUTSCHLAND,1300,STARK
36,HOCHSCHULREIFE,DEUTSCHLAND,1390,WENIG
37,FACHHOCHSCHULREIFE,UNGARN,460,MITTEL
38,FACHHOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,VERWEIGERT,STARK
39,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1400,WENIG
40,MITTLERE REIFE,WEISS NICHT,VERWEIGERT,UEBERHAUPT NICHT
41,HOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,VERWEIGERT,MITTEL
42,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,STARK
43,"VOLKS-,HAUPTSCHULE",FRUEHERE DT.OSTGEB.,850,MITTEL
44,MITTLERE REIFE,DEUTSCHLAND,KEIN EINKOMMEN,MITTEL
45,MITTLERE REIFE,FRANKREICH,1800,STARK
46,HOCHSCHULREIFE,DEUTSCHLAND,700,STARK
47,MITTLERE REIFE,RUSSISCHE FOEDERAT.,VERWEIGERT,MITTEL
48,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1000,STARK
49,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,VERWEIGERT,MITTEL
50,FACHHOCHSCHULREIFE,DEUTSCHLAND,1500,STARK
51,OHNE ABSCHLUSS,DEUTSCHLAND,VERWEIGERT,MITTEL
52,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,STARK
53,MITTLERE REIFE,DEUTSCHLAND,1579,STARK
54,MITTLERE REIFE,DEUTSCHLAND,1100,WENIG
55,MITTLERE REIFE,DEUTSCHLAND,1500,SEHR STARK
56,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,VERWEIGERT,SEHR STARK
57,MITTLERE REIFE,DEUTSCHLAND,860,MITTEL
58,MITTLERE REIFE,UKRAINE,1300,MITTEL
59,HOCHSCHULREIFE,DEUTSCHLAND,2000,SEHR STARK
60,FACHHOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
61,HOCHSCHULREIFE,DEUTSCHLAND,2400,WENIG
62,HOCHSCHULREIFE,DEUTSCHLAND,4000,STARK
63,MITTLERE REIFE,WEISS NICHT,820,MITTEL
64,MITTLERE REIFE,DEUTSCHLAND,1400,WENIG
65,FACHHOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,SEHR STARK
66,MITTLERE REIFE,TUERKEI,1100,SEHR STARK
67,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,2700,MITTEL
68,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1140,MITTEL
69,HOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,2200,STARK
70,MITTLERE REIFE,DEUTSCHLAND,2000,SEHR STARK
71,HOCHSCHULREIFE,DEUTSCHLAND,3000,STARK
72,MITTLERE REIFE,DEUTSCHLAND,2500,STARK
73,MITTLERE REIFE,DEUTSCHLAND,1650,MITTEL
74,HOCHSCHULREIFE,OESTERREICH,2650,SEHR STARK
75,HOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,650,STARK
76,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1000,WENIG
77,HOCHSCHULREIFE,DEUTSCHLAND,860,SEHR STARK
78,"VOLKS-,HAUPTSCHULE",FRUEHERE DT.OSTGEB.,1100,STARK
79,MITTLERE REIFE,DEUTSCHLAND,1700,MITTEL
80,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,400,MITTEL
81,MITTLERE REIFE,DEUTSCHLAND,1500,MITTEL
82,HOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,3500,MITTEL
83,MITTLERE REIFE,DEUTSCHLAND,1300,MITTEL
84,HOCHSCHULREIFE,DEUTSCHLAND,1520,STARK
85,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,600,MITTEL
86,MITTLERE REIFE,JUGOSLAWIEN,730,UEBERHAUPT NICHT
87,HOCHSCHULREIFE,NIEDERLANDE,4000,STARK
88,HOCHSCHULREIFE,DEUTSCHLAND,2000,MITTEL
89,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,VERWEIGERT,UEBERHAUPT NICHT
90,MITTLERE REIFE,DEUTSCHLAND,714,MITTEL
91,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,VERWEIGERT,STARK
92,HOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,700,SEHR STARK
93,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,SEHR STARK
94,HOCHSCHULREIFE,DEUTSCHLAND,3000,STARK
95,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,700,WENIG
96,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1050,STARK
97,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,WENIG
98,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
99,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,KEIN EINKOMMEN,STARK
100,HOCHSCHULREIFE,BULGARIEN,1400,MITTEL
101,MITTLERE REIFE,DEUTSCHLAND,800,MITTEL
102,"VOLKS-,HAUPTSCHULE",SOWJETUNION,265,UEBERHAUPT NICHT
103,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,2300,MITTEL
104,FACHHOCHSCHULREIFE,DEUTSCHLAND,1800,WENIG
105,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1900,MITTEL
106,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,WENIG
107,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,600,MITTEL
108,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1650,MITTEL
109,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,VERWEIGERT,MITTEL
110,HOCHSCHULREIFE,CHINA,KEIN EINKOMMEN,WENIG
111,MITTLERE REIFE,DEUTSCHLAND,2250,STARK
112,MITTLERE REIFE,DEUTSCHLAND,940,MITTEL
113,HOCHSCHULREIFE,LETTLAND,1600,MITTEL
114,MITTLERE REIFE,DEUTSCHLAND,1000,UEBERHAUPT NICHT
115,OHNE ABSCHLUSS,DEUTSCHLAND,3000,STARK
116,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,2000,UEBERHAUPT NICHT
117,FACHHOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
118,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,450,MITTEL
119,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
120,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,1100,WENIG
121,HOCHSCHULREIFE,SOWJETUNION,710,WENIG
122,FACHHOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,1800,WENIG
123,HOCHSCHULREIFE,DEUTSCHLAND,1600,STARK
124,FACHHOCHSCHULREIFE,DEUTSCHLAND,900,MITTEL
125,MITTLERE REIFE,DEUTSCHLAND,730,STARK
126,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1000,MITTEL
127,MITTLERE REIFE,DEUTSCHLAND,2100,MITTEL
128,HOCHSCHULREIFE,SOWJETUNION,400,MITTEL
129,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,4000,SEHR STARK
130,MITTLERE REIFE,DEUTSCHLAND,1000,MITTEL
131,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,STARK
132,HOCHSCHULREIFE,CHINA,VERWEIGERT,WENIG
133,HOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,7500,STARK
134,MITTLERE REIFE,WEISS NICHT,700,MITTEL
135,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,STARK
136,HOCHSCHULREIFE,DEUTSCHLAND,1600,MITTEL
137,HOCHSCHULREIFE,INDONESIEN,750,WENIG
138,MITTLERE REIFE,VIETNAM,1040,WENIG
139,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,KEIN EINKOMMEN,WENIG
140,OHNE ABSCHLUSS,NICHT BESTIMMBAR,KEIN EINKOMMEN,MITTEL
141,HOCHSCHULREIFE,DEUTSCHLAND,1750,MITTEL
142,HOCHSCHULREIFE,DEUTSCHLAND,2000,STARK
143,HOCHSCHULREIFE,DEUTSCHLAND,3000,STARK
144,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,3000,STARK
145,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,STARK
146,HOCHSCHULREIFE,DEUTSCHLAND,2100,MITTEL
147,HOCHSCHULREIFE,DEUTSCHLAND,2100,STARK
148,FACHHOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,VERWEIGERT,SEHR STARK
149,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
150,FACHHOCHSCHULREIFE,DEUTSCHLAND,1100,MITTEL
151,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1500,MITTEL
152,"VOLKS-,HAUPTSCHULE",SYRIEN,1500,SEHR STARK
153,MITTLERE REIFE,DEUTSCHLAND,1200,STARK
154,MITTLERE REIFE,DEUTSCHLAND,1400,MITTEL
155,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,995,MITTEL
156,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
157,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1800,MITTEL
158,MITTLERE REIFE,DEUTSCHLAND,2300,STARK
159,HOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,VERWEIGERT,WENIG
160,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,VERWEIGERT,SEHR STARK
161,FACHHOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,SEHR STARK
162,FACHHOCHSCHULREIFE,ITALIEN,1300,STARK
163,MITTLERE REIFE,DEUTSCHLAND,KEIN EINKOMMEN,UEBERHAUPT NICHT
164,HOCHSCHULREIFE,DEUTSCHLAND,2000,MITTEL
165,MITTLERE REIFE,DEUTSCHLAND,1000,STARK
166,HOCHSCHULREIFE,WEISS NICHT,1650,STARK
167,MITTLERE REIFE,DEUTSCHLAND,2060,MITTEL
168,MITTLERE REIFE,DEUTSCHLAND,1500,UEBERHAUPT NICHT
169,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,592,MITTEL
170,FACHHOCHSCHULREIFE,DEUTSCHLAND,1300,MITTEL
171,HOCHSCHULREIFE,DEUTSCHLAND,1750,STARK
172,MITTLERE REIFE,SOWJETUNION,150,STARK
173,"VOLKS-,HAUPTSCHULE",FRUEHERE DT.OSTGEB.,2100,STARK
174,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
175,"VOLKS-,HAUPTSCHULE",FRUEHERE DT.OSTGEB.,750,STARK
176,OHNE ABSCHLUSS,DEUTSCHLAND,184,WENIG
177,MITTLERE REIFE,DEUTSCHLAND,4200,STARK
178,MITTLERE REIFE,DEUTSCHLAND,1300,UEBERHAUPT NICHT
179,HOCHSCHULREIFE,MEXIKO,500,MITTEL
180,HOCHSCHULREIFE,DEUTSCHLAND,4000,MITTEL
181,MITTLERE REIFE,DEUTSCHLAND,2900,MITTEL
182,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1200,STARK
183,MITTLERE REIFE,DEUTSCHLAND,1100,WENIG
184,MITTLERE REIFE,DEUTSCHLAND,1600,STARK
185,MITTLERE REIFE,DEUTSCHLAND,300,MITTEL
186,HOCHSCHULREIFE,DEUTSCHLAND,1600,WENIG
187,MITTLERE REIFE,NIEDERLANDE,2800,STARK
188,"VOLKS-,HAUPTSCHULE",AETHIOPIEN,1000,WENIG
189,HOCHSCHULREIFE,"KOREA, REPUBLIK",330,SEHR STARK
190,FACHHOCHSCHULREIFE,USA,2300,MITTEL
191,MITTLERE REIFE,ITALIEN,VERWEIGERT,UEBERHAUPT NICHT
192,"VOLKS-,HAUPTSCHULE",FRUEHERE DT.OSTGEB.,VERWEIGERT,MITTEL
193,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,900,WENIG
194,"VOLKS-,HAUPTSCHULE",TSCHECHOSLOWAKEI,760,STARK
