,a_education,b_income,c_eastwest,d_sex,e_age,f_political_interest,g_preferred_party,p
0,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,FRAU,ALT,JA,AFD,0.0008944543828264759
1,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,FRAU,ALT,JA,CDU-CSU,0.005366726296958855
2,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,FRAU,ALT,JA,DIE GRUENEN,0.0026833631484794273
3,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,FRAU,ALT,JA,DIE LINKE,0.0
4,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,FRAU,ALT,JA,FDP,0.0026833631484794273
5,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,FRAU,ALT,JA,SPD,0.005813953488372093
6,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,FRAU,ALT,JA,WUERDE NICHT WAEHLEN,0.0004472271914132379
7,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,FRAU,ALT,NEIN,AFD,0.0
8,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,FRAU,ALT,NEIN,CDU-CSU,0.0013416815742397137
9,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,FRAU,ALT,NEIN,DIE GRUENEN,0.0013416815742397137
10,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,FRAU,ALT,NEIN,DIE LINKE,0.0
11,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,FRAU,ALT,NEIN,FDP,0.0004472271914132379
12,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,FRAU,ALT,NEIN,SPD,0.0
13,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,FRAU,ALT,NEIN,WUERDE NICHT WAEHLEN,0.0
14,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,FRAU,JUNG,JA,AFD,0.0
15,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,FRAU,JUNG,JA,CDU-CSU,0.004025044722719142
16,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,FRAU,JUNG,JA,DIE GRUENEN,0.0017889087656529517
17,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,FRAU,JUNG,JA,DIE LINKE,0.0004472271914132379
18,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,FRAU,JUNG,JA,FDP,0.0004472271914132379
19,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,FRAU,JUNG,JA,SPD,0.0004472271914132379
20,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,FRAU,JUNG,JA,WUERDE NICHT WAEHLEN,0.0
21,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,FRAU,JUNG,NEIN,AFD,0.0
22,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,FRAU,JUNG,NEIN,CDU-CSU,0.0013416815742397137
23,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,FRAU,JUNG,NEIN,DIE GRUENEN,0.0013416815742397137
24,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,FRAU,JUNG,NEIN,DIE LINKE,0.0
25,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,FRAU,JUNG,NEIN,FDP,0.0
26,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,FRAU,JUNG,NEIN,SPD,0.0008944543828264759
27,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,FRAU,JUNG,NEIN,WUERDE NICHT WAEHLEN,0.0
28,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,ALT,JA,AFD,0.00849731663685152
29,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,ALT,JA,CDU-CSU,0.02146690518783542
30,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,ALT,JA,DIE GRUENEN,0.01073345259391771
31,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,ALT,JA,DIE LINKE,0.004025044722719142
32,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,ALT,JA,FDP,0.008944543828264758
33,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,ALT,JA,SPD,0.00849731663685152
34,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,ALT,JA,WUERDE NICHT WAEHLEN,0.0022361359570661895
35,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,ALT,NEIN,AFD,0.0
36,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,ALT,NEIN,CDU-CSU,0.0
37,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,ALT,NEIN,DIE GRUENEN,0.0013416815742397137
38,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,ALT,NEIN,DIE LINKE,0.0
39,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,ALT,NEIN,FDP,0.0008944543828264759
40,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,ALT,NEIN,SPD,0.0008944543828264759
41,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,ALT,NEIN,WUERDE NICHT WAEHLEN,0.0004472271914132379
42,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,JUNG,JA,AFD,0.0022361359570661895
43,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,JUNG,JA,CDU-CSU,0.010286225402504472
44,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,JUNG,JA,DIE GRUENEN,0.0031305903398926656
45,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,JUNG,JA,DIE LINKE,0.0004472271914132379
46,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,JUNG,JA,FDP,0.004025044722719142
47,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,JUNG,JA,SPD,0.0031305903398926656
48,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,JUNG,JA,WUERDE NICHT WAEHLEN,0.0008944543828264759
49,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,JUNG,NEIN,AFD,0.0
50,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,JUNG,NEIN,CDU-CSU,0.0
51,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,JUNG,NEIN,DIE GRUENEN,0.0
52,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,JUNG,NEIN,DIE LINKE,0.0
53,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,JUNG,NEIN,FDP,0.0004472271914132379
54,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,JUNG,NEIN,SPD,0.0008944543828264759
55,EHER GEBILDET,EHER HOCH,ALTE BUNDESLAENDER,MANN,JUNG,NEIN,WUERDE NICHT WAEHLEN,0.0008944543828264759
56,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,FRAU,ALT,JA,AFD,0.0004472271914132379
57,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,FRAU,ALT,JA,CDU-CSU,0.0008944543828264759
58,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,FRAU,ALT,JA,DIE GRUENEN,0.0013416815742397137
59,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,FRAU,ALT,JA,DIE LINKE,0.0013416815742397137
60,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,FRAU,ALT,JA,FDP,0.0004472271914132379
61,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,FRAU,ALT,JA,SPD,0.0008944543828264759
62,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,FRAU,ALT,JA,WUERDE NICHT WAEHLEN,0.0
63,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,FRAU,ALT,NEIN,AFD,0.0
64,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,FRAU,ALT,NEIN,CDU-CSU,0.0
65,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,FRAU,ALT,NEIN,DIE GRUENEN,0.0
66,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,FRAU,ALT,NEIN,DIE LINKE,0.0
67,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,FRAU,ALT,NEIN,FDP,0.0
68,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,FRAU,ALT,NEIN,SPD,0.0
69,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,FRAU,ALT,NEIN,WUERDE NICHT WAEHLEN,0.0
70,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,FRAU,JUNG,JA,AFD,0.0
71,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,FRAU,JUNG,JA,CDU-CSU,0.0008944543828264759
72,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,FRAU,JUNG,JA,DIE GRUENEN,0.0
73,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,FRAU,JUNG,JA,DIE LINKE,0.0
74,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,FRAU,JUNG,JA,FDP,0.0
75,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,FRAU,JUNG,JA,SPD,0.0
76,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,FRAU,JUNG,JA,WUERDE NICHT WAEHLEN,0.0
77,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,FRAU,JUNG,NEIN,AFD,0.0
78,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,FRAU,JUNG,NEIN,CDU-CSU,0.0
79,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,FRAU,JUNG,NEIN,DIE GRUENEN,0.0
80,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,FRAU,JUNG,NEIN,DIE LINKE,0.0
81,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,FRAU,JUNG,NEIN,FDP,0.0
82,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,FRAU,JUNG,NEIN,SPD,0.0
83,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,FRAU,JUNG,NEIN,WUERDE NICHT WAEHLEN,0.0
84,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,MANN,ALT,JA,AFD,0.0035778175313059034
85,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,MANN,ALT,JA,CDU-CSU,0.004025044722719142
86,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,MANN,ALT,JA,DIE GRUENEN,0.0008944543828264759
87,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,MANN,ALT,JA,DIE LINKE,0.0017889087656529517
88,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,MANN,ALT,JA,FDP,0.0008944543828264759
89,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,MANN,ALT,JA,SPD,0.0031305903398926656
90,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,MANN,ALT,JA,WUERDE NICHT WAEHLEN,0.0022361359570661895
91,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,MANN,ALT,NEIN,AFD,0.0
92,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,MANN,ALT,NEIN,CDU-CSU,0.0004472271914132379
93,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,MANN,ALT,NEIN,DIE GRUENEN,0.0
94,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,MANN,ALT,NEIN,DIE LINKE,0.0
95,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,MANN,ALT,NEIN,FDP,0.0
96,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,MANN,ALT,NEIN,SPD,0.0004472271914132379
97,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,MANN,ALT,NEIN,WUERDE NICHT WAEHLEN,0.0
98,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,MANN,JUNG,JA,AFD,0.0004472271914132379
99,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,MANN,JUNG,JA,CDU-CSU,0.0035778175313059034
100,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,MANN,JUNG,JA,DIE GRUENEN,0.0004472271914132379
101,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,MANN,JUNG,JA,DIE LINKE,0.0004472271914132379
102,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,MANN,JUNG,JA,FDP,0.0
103,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,MANN,JUNG,JA,SPD,0.0004472271914132379
104,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,MANN,JUNG,JA,WUERDE NICHT WAEHLEN,0.0
105,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,MANN,JUNG,NEIN,AFD,0.0
106,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,MANN,JUNG,NEIN,CDU-CSU,0.0
107,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,MANN,JUNG,NEIN,DIE GRUENEN,0.0004472271914132379
108,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,MANN,JUNG,NEIN,DIE LINKE,0.0
109,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,MANN,JUNG,NEIN,FDP,0.0004472271914132379
110,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,MANN,JUNG,NEIN,SPD,0.0
111,EHER GEBILDET,EHER HOCH,NEUE BUNDESLAENDER,MANN,JUNG,NEIN,WUERDE NICHT WAEHLEN,0.0004472271914132379
112,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,JA,AFD,0.0031305903398926656
113,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,JA,CDU-CSU,0.0259391771019678
114,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,JA,DIE GRUENEN,0.028622540250447227
115,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,JA,DIE LINKE,0.004919499105545617
116,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,JA,FDP,0.008944543828264758
117,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,JA,SPD,0.019230769230769232
118,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,JA,WUERDE NICHT WAEHLEN,0.006261180679785331
